source1_entity_id	candidate_entity_ids
S1-870190130	S2-887068275,S2-885354497,S2-119117754,S2-373897857,S2-755846240,S2-333230566,S2-40327723,S2-932048629,S3-305745015,S3-739091316,S3-558210480,S3-474826198,S2-528929761,S2-916015676,S2-39872285,S2-540182433,S2-782561431,S2-392578068,S2-299877054,S2-36616184,S2-185531373,S2-693866929,S2-777214835,S2-95257193,S2-870248513,S2-546525441,S2-919732103,S2-310551193,S2-438102126,S2-106551742,S2-353852049,S2-159987691,S2-842611061,S2-756768643,S2-687592708,S2-603026530,S2-521682474,S2-557969803,S2-293630968,S2-260821412,S2-813691065,S2-153943542,S2-65807310,S2-44724843,S2-605345323,S2-369666595,S2-418345718,S2-361931113,S2-486873605,S2-662242059,S2-533509400,S2-430387936,S2-543051367,S2-553592240,S2-469942778,S2-846352818,S2-357230253,S2-426469563,S2-199991878,S2-570312642
S1-365170694	S2-462426687,S2-590121371,S2-734979295,S2-950170744,S2-832761728,S2-618047227,S2-711782291,S2-84294594,S2-9410084,S2-2881302,S2-607743000,S2-184572243,S2-171825543,S2-10378272,S2-836194612,S2-815620577,S2-942852308,S2-30366554,S2-333281190,S2-828729653,S2-924644317,S2-646220710,S2-601274889,S2-741786148,S2-924174670,S2-993809538,S2-990799777,S2-769810511,S2-777097274,S2-25021791,S2-19893136,S2-95889450,S2-976499881,S2-313609382,S2-716788009,S2-927355832,S2-143004935,S2-652903084,S2-930942733,S2-41798385,S2-30392880,S2-136256165,S2-38667071,S2-156583415,S2-850999042,S2-909686204,S2-491351998,S2-135736944,S2-737246936,S2-657764281,S2-93433749,S2-565974568,S2-453626293,S2-706423789,S2-811388231,S2-149894235,S2-624204007,S2-305636121,S2-941789767,S2-93302259
S1-778640743	S3-467616579,S2-810859435,S2-951966228,S2-62944396,S2-257130368,S3-959400004,S2-727778987,S2-434970463,S2-24644781,S2-299051020,S2-665635259,S2-690151146,S3-723460337,S3-439712116,S3-383514096,S3-932375738,S3-209933867,S3-467107014,S2-89663826,S2-123627795,S2-181305222,S2-105890899,S2-40967078,S2-665332697,S2-662698998,S2-136103122,S2-37377358,S2-253997818,S2-531520525,S2-334229645,S2-701844869,S2-75870827,S2-400103420,S2-487108785,S2-346168719,S2-247934792,S2-474301975,S2-41074792,S2-287303228,S2-404117069,S2-640959505,S2-556758776,S2-988029522,S2-457621528,S2-639707858,S2-355884279,S2-365794383,S2-8515461,S2-266491859,S2-623344246,S2-789605137,S2-752109448,S2-406111339,S2-169967244,S2-230416347,S2-206733739,S2-96975908,S2-865667111,S2-740931349,S2-596005722
S1-378191895	S3-133439211,S3-524213131,S2-128826002,S3-297992423,S2-91100310,S2-157009014,S2-193192546,S2-457753565,S2-365697146,S2-575608925,S2-322874543,S2-691996864,S2-815620577,S2-333281190,S2-386611611,S2-186591419,S2-46759191,S2-521160099,S2-941985225,S2-6840429,S2-422335334,S2-268701228,S2-675715406,S2-10625583,S2-875783981,S2-156938247,S2-263658933,S2-781610365,S2-104034389,S2-100034338,S2-861835738,S2-24774218,S2-725748768,S2-411181492,S2-858886617,S2-402516596,S2-166178146,S2-621938573,S2-630787518,S2-601212850,S2-347055202,S2-338034131,S2-772044677,S2-331855041,S2-942412730,S2-186596354,S2-604196365,S2-942891053,S2-143348666,S2-926626030,S2-587912207,S2-265882908,S2-927722348,S2-438621743,S3-220850190,S3-300797169,S3-32557122,S3-102646557,S3-786486947,S3-208744177
S1-684974736	S3-221591522,S3-236584638,S2-274193796,S2-900732677,S2-129172293,S2-436820470,S2-90611927,S2-598722516,S2-751387140,S2-306662879,S2-508252114,S2-252260114,S2-207728587,S2-307468427,S2-675843528,S2-507348022,S2-269699057,S2-147709425,S2-110323481,S2-748973412,S2-506312279,S2-349333201,S2-4399119,S2-384824595,S2-111008380,S2-386449081,S2-132358365,S2-864493818,S2-901911576,S2-59413026,S2-792305743,S2-199927465,S2-222841875,S2-762760088,S2-112153163,S2-883191038,S2-281840156,S2-844044568,S2-871427591,S2-3208461,S2-127806313,S2-821462052,S2-534740307,S2-37916807,S2-167524696,S2-7918975,S2-656105308,S2-61016242,S2-168718522,S2-572222313,S2-549077075,S2-285861491,S2-153054966,S3-275013845,S3-162017573,S3-225312696,S3-792387530,S3-995455631,S3-821465954,S3-543298399
S1-750279127	S2-65313786,S2-148853773,S2-250146524,S2-239880088,S2-91792484,S2-412121857,S2-670697876,S2-746280142,S3-435130814,S3-934314799,S3-43287083,S3-789718939,S3-538473548,S3-730182492,S3-900200384,S2-153943542,S2-214523811,S2-16853062,S2-137706549,S3-686814555,S3-130740468,S3-745618582,S2-458501788,S2-588922526,S2-43952583,S2-219932714,S2-341324483,S2-672953164,S2-241386385,S2-438922697,S2-51638504,S2-371301714,S2-690504228,S2-972427766,S2-304719869,S2-49069229,S2-509761421,S2-632263059,S2-343176645,S2-150191211,S2-145206227,S2-218375401,S2-768299835,S2-441173381,S2-652229553,S2-512127142,S2-841363636,S2-512908570,S2-24811772,S2-14666342,S2-20677964,S2-213878742,S2-432161464,S2-287858288,S2-647232146,S2-843189997,S2-225682549,S2-774347982,S2-659461505,S2-738464531
S1-209281220	S2-426933123,S2-133353077,S2-566527409,S2-545094608,S2-369259989,S3-815892084,S3-150526740,S3-571446614,S3-833029203,S3-45362565,S3-417850387,S3-307447012,S3-785603538,S3-789768624,S3-297736053,S2-782765375,S2-508235387,S2-793409957,S2-537305800,S2-628047966,S2-70596145,S2-322517407,S2-549520535,S3-611168787,S3-638111379,S3-417417798,S3-138142198,S3-801475482,S3-850175449,S3-351756442
S1-550154910	S2-755491655,S2-877940400,S2-592019002,S3-789710292,S3-38328797,S2-345648173,S3-306223540,S3-83358589,S2-510842397,S2-627682672,S2-796991793,S2-453562565,S2-898849110,S2-877133584,S2-929103679,S2-960258531,S2-953315150,S2-484483494,S2-353554435,S2-242803736,S2-555357043,S2-222833745,S2-330025709,S2-207998815,S2-444861711,S2-992019566,S2-332323044,S2-748619438,S2-548500463,S2-847809626,S2-342025542,S2-898655795,S2-205674278,S2-939735565,S2-913169920,S2-505443158,S2-344162889,S2-857086247,S2-645925142,S2-919393417,S2-531667735,S2-598544923,S2-474124252,S2-667662419,S2-383355616,S2-80539676,S2-386250934,S2-233981100,S2-269177273,S2-577766410,S2-794896485,S2-350720502,S2-910593325,S2-225609959,S2-136048529,S2-441637872,S2-756606388,S2-856478884,S2-732647268,S2-642722927
S1-897975128	S3-160034364,S2-431377438,S3-64648529,S2-222136410,S2-649648933,S3-315865053,S2-636585747,S2-453341454,S3-80022901,S3-50435405,S2-674483606,S2-873643582,S2-431834266,S2-820001061,S2-209153801,S2-449395841,S2-31222911,S2-132742126,S2-954289213,S2-233168087,S2-791146260,S2-411697167,S2-287693608,S2-588398787,S2-995952791,S2-435586499,S2-724255692,S2-574773455,S2-420067037,S2-185263108,S2-547314906,S2-521508965,S2-162637138,S2-349817213,S2-225489540,S2-765383663,S2-529292701,S2-872285328,S2-923891447,S2-83230922,S2-776334231,S2-616022059,S2-381780723,S2-100147031,S2-996136951,S2-50334720,S2-8751099,S2-253654468,S2-831865153,S3-604980231,S3-464088678,S3-652518072,S3-518579107,S3-994013896,S3-300820527,S3-718307142,S3-964628585,S3-908592992,S3-694705284,S3-939308000
S1-704604312	S2-409062448,S2-368346570,S2-954394454,S2-450373644,S2-20662412,S2-480226119,S3-921247150,S3-591492307,S3-93534883,S2-53302256,S2-463547523,S2-739329733,S2-119369314,S2-334039644,S2-713462569,S2-984432772,S2-422352349,S2-872706088,S2-940740640,S3-175764179,S3-418508338,S3-128264166,S3-317565098,S3-744700443,S3-390180673,S3-894620314,S3-801475482,S3-266883278,S3-385257444,S3-102190093,S3-605626269,S3-220836222,S3-624098779,S3-943632660,S3-240544189,S2-557746563,S2-611429747,S2-523856529,S2-274526953,S3-42105685,S3-949147781,S3-724207730,S3-313734405,S3-224294182,S3-800327273,S3-495522076,S2-86429229,S2-305089827,S2-695880094,S2-587461132,S2-174129066,S2-126608465,S2-723489515,S2-270019533,S2-172066960,S2-508235387,S2-361052115,S2-941720908,S2-691296000,S2-668558380
S1-628750886	S3-608406362,S2-211320575,S2-584706618,S3-80876294,S2-533046398,S3-358729746,S3-183548740,S2-336076880,S2-503966344,S2-441692657,S2-613021953,S2-229203598,S2-626468842,S2-169037041,S2-519644358,S2-533000846,S2-878257479,S2-988818211,S2-65808502,S2-711660940,S2-567062100,S2-39283104,S2-148978504,S2-885212289,S2-96368391,S2-168557846,S2-132741297,S2-321991265,S2-253085970,S2-869945482,S2-72621756,S2-386934307,S2-111323888,S2-419407012,S2-517534561,S2-453894804,S2-108590162,S2-786237872,S2-167830215,S2-331368343,S2-955288316,S2-161614087,S2-837385439,S2-382210677,S2-526287565,S2-34563072,S2-578277425,S2-943472718,S2-414318892,S2-424060577,S2-890178948,S2-973459583,S2-836193174,S2-211300401,S2-406563194,S2-921746636,S2-968896369,S2-964463489,S2-398067086,S2-913706007
S1-714038427	S2-112751482,S2-912619584,S2-458816444,S2-439086559,S2-422874406,S2-644849827,S2-996977263,S2-310804930,S2-681887579,S2-23890139,S2-474006003,S2-274390379,S2-673603996,S2-328717499,S2-938622109,S2-237828025,S2-360706152,S2-64370534,S2-240618051,S2-507823990,S2-777016786,S2-868864783,S2-406883681,S2-576232947,S2-393450091,S2-782590463,S2-147064952,S2-872510324,S2-948975873,S2-285342808,S2-731803731,S2-232888938,S2-766119008,S2-664686791,S2-393575525,S2-68657614,S2-82808931,S2-466624414,S2-528013516,S2-684669175,S2-68167807,S2-626646674,S2-255666181,S2-494873193,S2-886248271,S2-781804800,S2-953578425,S2-538326717,S2-897964235,S2-596238118,S2-781043359,S2-635847864,S2-926119320,S2-685973696,S2-569704513,S2-95675588,S2-300192786,S2-166728936,S2-983424473,S2-156616558
S1-426194890	S2-188140194,S3-926407622,S2-554506620,S2-350082675,S2-759714210,S2-303061871,S2-45143463,S2-703025452,S2-188422746,S2-649102045,S2-322737020,S2-151378675,S2-292412484,S2-832103862,S2-55637946,S2-599320719,S2-648561550,S2-893391684,S2-477394939,S2-51443909,S2-330353581,S2-889090744,S2-24171442,S2-969337377,S2-262333602,S2-568342941,S2-677418029,S2-730283814,S2-792972231,S2-834283556,S2-234929962,S2-765042697,S2-8251464,S2-783043816,S2-692698181,S2-989826578,S2-980150605,S2-509621666,S2-555491217,S2-138258141,S2-719494058,S2-330202238,S2-506882598,S2-956662053,S2-813022694,S2-514887167,S2-165811411,S2-161174520,S2-650480427,S2-391392821,S2-88699672,S2-111297556,S2-878649445,S2-995930801,S2-52843199,S2-796857172,S2-544991163,S2-667238213,S2-387909407,S2-915549708
S1-122385784	S2-952948857,S3-673082875,S3-680019929,S3-846861539,S3-547138005,S2-356639544,S2-316613657,S2-466818916,S2-809664279,S2-566313138,S3-390930763,S3-305282563,S3-618032159,S3-794094645,S2-234200980,S2-952858710,S2-31694455,S2-86137182,S2-609571259,S2-651671642,S2-258187741,S2-313536981,S2-784517142,S2-420602042,S2-808576831,S2-42165651,S2-752642519,S2-830750148,S2-600277211,S2-876374317,S2-75522108,S2-445054109,S2-86364011,S2-834923028,S2-58564841,S2-841870441,S2-523092732,S2-62233060,S2-537786066,S2-665775709,S2-650702964,S2-407449082,S2-76898639,S2-906218141,S2-994901789,S2-337833685,S2-554172232,S2-195266816,S2-703172444,S2-476719085,S2-953352546,S2-81823387,S2-324619948,S2-749328373,S2-220449102,S2-237976616,S2-669420315,S2-655856580,S2-971493493,S2-836257905
S1-540642140	S3-509033058,S3-633899794,S2-744098365,S2-598312557,S2-103781604,S2-261228864,S2-580599447,S2-418144525,S2-27451904,S2-88977929,S2-854739841,S2-975741876,S2-456514313,S2-757054231,S2-26031011,S2-865137666,S2-670162547,S2-498847231,S2-316927869,S2-374086598,S2-220248812,S2-148054463,S2-842678300,S2-498589580,S2-511809981,S2-906076632,S2-869379702,S2-271369594,S2-459529438,S2-608315406,S2-18373037,S2-885493859,S2-701271844,S2-103592374,S2-371984174,S2-576319700,S2-216373674,S2-312470823,S2-862176636,S2-98712145,S2-115908284,S2-697823750,S2-539116104,S2-517286309,S2-19574277,S2-474554372,S2-139117757,S2-165811411,S2-375564096,S2-124773017,S2-443602790,S2-757480091,S2-974127737,S2-325189084,S2-782355820,S2-475822291,S2-365860658,S2-34145552,S2-628231040,S2-920233858
S1-123475953	S2-389013354,S2-120038243,S2-163196023,S2-993765758,S2-499777866,S3-211112674,S3-204177143,S2-557746563,S2-611429747,S2-523856529,S2-274526953,S3-42105685,S3-949147781,S3-724207730,S3-313734405,S3-418080466,S3-224294182,S3-800327273,S2-850661460,S2-86429229,S2-305089827,S2-695880094,S2-587461132,S2-174129066,S2-126608465,S2-723489515,S2-270019533,S2-172066960,S2-508235387,S2-361052115,S2-941720908,S2-691296000,S2-668558380,S2-587699981,S2-879945459,S2-286309618,S2-96420541,S2-162313890,S2-410935311,S2-673419052,S2-946427412,S2-780062951,S2-505763014,S2-414220513,S2-453987790,S2-304254740,S2-874075209,S2-654393563,S2-435553825,S2-900275593,S2-70475656,S2-399023601,S2-396608240,S2-689588820,S2-739001878,S2-585916654,S2-384171816,S2-651252160,S2-538358423,S2-573926166
S1-444801830	S2-863537425,S3-217788178,S3-514503857,S2-860326457,S2-4375172,S2-687529696,S2-128778584,S2-819373836,S2-467202611,S3-943715839,S2-33467020,S2-644019880,S2-348424823,S2-514820746,S2-303037664,S2-188745062,S2-826697164,S2-311751510,S2-140088778,S2-382331976,S2-771992709,S2-111650442,S2-949174379,S2-528203192,S2-450646118,S2-479192671,S2-221740113,S2-860796349,S2-902221393,S2-384158416,S2-473944983,S2-831164041,S2-937759351,S2-578973470,S2-273574509,S2-893106573,S2-44179186,S2-819900710,S2-72824293,S2-852298556,S2-241352407,S2-181071511,S2-598544923,S2-857473664,S2-314953184,S2-52333978,S2-293565086,S2-729994679,S2-724516860,S2-882334469,S2-183597752,S2-936482874,S2-307886331,S2-886067552,S2-381054184,S2-538744698,S2-777422434,S2-779863169,S2-149539395,S2-757960276
S1-502376041	S2-551281247,S2-246409155,S3-47563913,S2-394841853,S3-159905326,S2-404317391,S2-153968629,S3-260775638,S2-313905133,S2-923816782,S2-796991793,S2-165898626,S2-547792042,S2-673317537,S2-450038746,S2-902499230,S2-480685367,S2-782532258,S2-746370141,S2-437254036,S2-788628222,S2-105744335,S2-304713900,S2-800070935,S2-116390537,S2-926001316,S2-978100588,S2-11366113,S2-628914147,S2-302631256,S2-823448172,S2-652899117,S2-94378070,S2-343311329,S2-805328552,S2-301114007,S2-996027273,S2-814460787,S2-495748996,S2-104647725,S2-434115864,S2-913569884,S2-644663956,S2-1769438,S2-945210740,S2-428542220,S2-635214615,S2-830877340,S2-238610421,S2-135251670,S2-626905689,S2-286926428,S2-717290151,S2-992570250,S2-308357837,S2-77795814,S2-620563082,S2-66109651,S2-805121348,S2-952729281
S1-594021398	S3-453843741,S3-880205020,S2-705838505,S3-608178522,S2-146545453,S2-819310622,S2-740279975,S2-683268866,S2-81242288,S2-430858827,S2-236502124,S2-586906337,S2-420446203,S2-606618303,S2-36651565,S2-411275632,S2-778275959,S2-454288890,S2-49069229,S2-21118178,S2-853226753,S2-790721932,S2-148067549,S2-615079121,S2-490413303,S2-969016897,S2-598895451,S2-848114053,S2-141114023,S2-154691341,S2-592881202,S2-425683249,S2-820401730,S2-710159661,S2-865145922,S2-193726137,S2-449598209,S2-563178578,S2-339627888,S2-739623907,S2-160392514,S2-879874027,S2-170384043,S2-405301836,S2-94175630,S2-671351334,S2-885911460,S2-834591942,S2-202962481,S2-612793834,S2-567630667,S2-272486048,S2-331855041,S2-699943373,S2-345122607,S2-186042245,S2-225373848,S2-105375497,S2-122450773,S2-815570936
S1-261170522	S2-222841875,S2-243666115,S2-903113935,S2-984127671,S2-477494703,S2-224182826,S3-216502740,S3-299701671,S2-257828288,S2-708416992,S2-742169755,S2-296778132,S3-179084943,S3-923064996,S3-746023679,S3-164501181,S3-90418658,S2-254868860,S3-832600552,S2-887084672,S2-467863016,S2-95427785,S2-757755510,S2-441210915,S2-129401088,S2-827905796,S2-201555091,S2-112256469,S2-963724407,S2-793917015,S2-685963875,S2-70622188,S2-536806188,S2-227540736,S2-909340193,S2-961901213,S2-111891681,S2-477409278,S2-94328383,S2-891506509,S2-890084877,S2-428112890,S2-243787642,S2-71673892,S2-529359372,S2-231102077,S2-474485947,S2-920429745,S2-387337525,S2-869158087,S2-854662690,S2-292354122,S2-463154838,S2-517357042,S2-862834747,S2-427104827,S2-965073939,S2-37158882,S2-649935661,S2-936960388
S1-466641145	S2-750780704,S2-903242681,S2-28302837,S2-385544304,S2-292587641,S2-339358981,S2-324408659,S2-323483832,S2-811297217,S2-141712837,S2-703986640,S2-844268595,S2-115307278,S2-414982425,S2-134813883,S3-676387244,S3-295762848,S3-911339326,S3-321697170,S3-430431212,S3-123022677,S3-889074322,S3-222936671,S3-707815056,S3-996029038,S3-718695653,S3-417623488,S3-846128900,S2-392595553,S2-593595577,S2-108590162,S2-118306231,S3-935542983,S3-86310691,S3-440616666,S3-485693810,S3-155657369,S3-650400151,S3-341375283,S3-565078394,S2-742018880,S2-305637735,S2-977401479,S2-412254468,S2-975502236,S2-991545286,S2-987550636,S2-24099038,S2-791121005,S2-438565549,S2-917596702,S2-218619721,S2-955629599,S2-339500407,S2-390887972,S2-952403763,S2-463784631,S2-275231612,S2-131407295,S2-356235629
